World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Broad Impact	Patents	Score
304	University of Antwerp	Belgium	6	378+	557	235+	263	303	218	263	491	46.06
305	Nankai University	China	9	348	139	235+	278	447	295	313	491	46.04
306	University of Rome Tor Vergata	Italy	10	378+	580	235+	276	277	268	259	461	46.03
307	University of St Andrews	United Kingdom	28	163	494	235+	310	196	436	272	240	46.03
308	Medical College of Wisconsin	USA	116	378+	594+	235+	350	271	324	238	719	46.03
309	Vita-Salute San Raffaele University	Italy	11	378+	594+	235+	435	259	268	233	912+	46.03
310	University of York	United Kingdom	29	378+	594+	235+	272	209	136	300	263	46.02
311	University of Liège	Belgium	7	155	594+	145	318	251	184	286	288	46.02
312	Hong Kong University of Science and Technology	Hong Kong	3	378+	335	235+	265	489	324	286	199	46.01
313	University of Trieste	Italy	12	378+	462	235+	409	295	240	253	611	45.96
314	Hiroshima University	Japan	13	378+	594+	235+	325	288	541	306	123	45.94
315	University of Exeter	United Kingdom	30	281	422	235+	286	171	324	279	447	45.93
316	Queen's University Belfast	United Kingdom	31	190	382	235+	297	287	324	300	182	45.91
317	University of Regensburg	Germany	27	378+	326	235+	302	242	268	280	461	45.91
318	Xiamen University	China	10	378+	92	235+	316	469	664	381	547	45.90
319	University of Adelaide	Australia	8	228	431	235+	224	227	324	308	288	45.90
320	Chulalongkorn University	Thailand	1	378+	56	235+	591	710	664	588	912+	45.89
321	Kobe University	Japan	14	97	241	117	378	278	295	328	326	45.88
322	University of Nebraska–Lincoln	USA	117	175	217	235+	293	239	240	320	387	45.87
323	Dalian University of Technology	China	11	378+	107	235+	300	648	436	375	264	45.87
324	University of Navarra	Spain	6	378+	65	235+	560	662	664	494	625	45.85
325	University of Vermont	USA	118	209	278	235+	362	275	436	296	257	45.84
326	Rush University	USA	119	378+	594+	235+	436	407	240	268	420	45.84
327	Federal University of Rio de Janeiro	Brazil	2	139	135	235+	299	342	436	357	303	45.81
328	University of Stuttgart	Germany	28	86	171	185	407	379	380	347	332	45.81
329	Stellenbosch University	South Africa	3	378+	79	235+	511	474	324	481	285	45.81
330	University of East Anglia	United Kingdom	32	210	594+	179	347	215	144	308	558	45.80
331	University of Porto	Portugal	2	98	318	153	258	370	324	342	391	45.80
332	University of Jena	Germany	29	378+	594+	231	260	270	380	290	523	45.80
333	University of Perugia	Italy	13	378+	594+	126	393	310	380	280	704	45.78
334	Tianjin University	China	12	378+	77	235+	331	860	436	547	332	45.78
335	University of Ferrara	Italy	14	378+	594+	235+	428	385	218	280	719	45.73
336	York University	Canada	15	378+	102	235+	377	423	240	389	883	45.72
337	Kyungpook National University	South Korea	8	378+	410	235+	366	613	295	403	88	45.71
338	Boston College	USA	120	378+	99	235+	577	367	218	396	363	45.70
339	University of Pavia	Italy	15	311	350	232	333	390	268	300	659	45.70
340	University of Marburg	Germany	30	320	594+	234	336	240	664	300	271	45.70
341	National Autonomous University of Mexico	Mexico	1	246	541	235+	217	221	436	334	425	45.69
342	University of Oregon	USA	121	358	594+	235+	391	234	268	290	516	45.68
343	Hong Kong Polytechnic University	Hong Kong	4	378+	167	235+	248	808	664	387	230	45.67
344	Eindhoven University of Technology	Netherlands	11	378+	359	199	315	536	324	317	295	45.67
345	University of Otago	New Zealand	2	378+	376	235+	304	318	324	308	447	45.67
346	St George's, University of London	United Kingdom	33	378+	594+	235+	575	435	268	280	644	45.66
347	CentraleSupélec	France	15	378+	55	235+	814	841	818+	846	790	45.65
348	Saint Louis University	USA	122	378+	259	219	474	296	324	317	347	45.63
349	University of Victoria	Canada	16	378+	594+	235+	330	348	240	308	735	45.62
350	Colorado School of Mines	USA	123	378+	69	235+	683	603	380	588	644	45.62
351	Washington State University	USA	124	378+	336	133	308	229	295	352	215	45.61
352	Justus Liebig University Giessen	Germany	31	378+	594+	235+	334	356	324	313	332	45.60
353	Kansas State University	USA	125	142	236	235+	387	335	200	352	312	45.60
354	Indian Institute of Technology Delhi	India	1	378+	64	235+	631	953	818+	706	690	45.59
355	Technical University of Berlin	Germany	32	83	257	235+	363	455	436	389	225	45.59
356	University of Innsbruck	Austria	3	205	386	113	431	243	295	324	491	45.59
357	Huazhong University of Science and Technology	China	13	378+	206	235+	183	586	664	430	356	45.57
358	Ben-Gurion University of the Negev	Israel	5	378+	594+	235+	289	377	436	407	106	45.57
359	University of Bari Aldo Moro	Italy	16	378+	594+	235+	361	323	436	306	576	45.57
360	Linköping University	Sweden	8	378+	265	235+	320	391	436	328	912+	45.56
361	Versailles Saint-Quentin-en-Yvelines University	France	16	378+	594+	235+	438	238	268	308	883	45.54
362	Simon Fraser University	Canada	17	378+	594+	235+	287	298	436	327	412	45.54
363	University of Texas Medical Branch at Galveston	USA	126	378+	594+	235+	413	306	295	328	207	45.54
364	City University of Hong Kong	Hong Kong	5	378+	594+	235+	253	851	380	335	440	45.52
365	Shandong University	China	14	378+	433	235+	196	593	436	365	576	45.52
366	University of Turku	Finland	2	378+	558	235+	319	307	436	320	611	45.52
367	Jilin University	China	15	223	322	235+	233	454	664	352	644	45.51
368	Tokyo Medical and Dental University	Japan	15	378+	594+	235+	463	314	380	328	194	45.51
369	University of Eastern Finland	Finland	3	378+	594+	235+	370	368	240	320	856	45.51
370	Chinese Academy of Medical Sciences & Peking Union Medical College	China	16	378+	594+	235+	341	289	380	337	203	45.50
371	University of Chinese Academy of Sciences	China	17	378+	452	235+	163	365	380	403	802	45.50
372	University of Buenos Aires	Argentina	1	135	514	205	279	358	436	342	912+	45.49
373	Catholic University of the Sacred Heart	Italy	17	378+	525	235+	419	460	324	313	763	45.49
374	Wesleyan University	USA	127	104	71	235+	992	568	818+	846	856	45.47
375	College of William and Mary	USA	128	378+	87	235+	615	461	324	536	821	45.47
376	San Diego State University	USA	129	262	216	235+	479	313	295	346	437	45.47
377	Scuola Normale Superiore di Pisa	Italy	18	279	594+	62	570	521	324	481	883	45.46
378	University of Southern Denmark	Denmark	4	378+	594+	235+	396	325	380	324	401	45.46
379	University of Milan - Bicocca	Italy	19	378+	594+	235+	381	359	380	324	440	45.45
380	Temple University	USA	130	287	480	235+	326	315	664	347	210	45.45
381	Pontifical Catholic University of Chile	Chile	1	356	131	235+	440	320	541	396	471	45.45
382	Wuhan University	China	18	378+	235	235+	264	549	664	381	633	45.42
383	Innsbruck Medical University	Austria	4	378+	594+	235+	459	406	664	317	592	45.42
384	Harbin Institute of Technology	China	19	378+	254	235+	239	825	380	396	429	45.42
385	Darmstadt University of Technology	Germany	33	74	385	235+	389	499	324	407	374	45.41
386	University of Guelph	Canada	18	378+	518	235+	328	282	184	357	387	45.40
387	University of Alabama - Tuscaloosa	USA	131	161	136	235+	519	481	324	441	303	45.40
388	Saarland University	Germany	34	378+	343	235+	397	416	324	337	420	45.40
389	Polytechnic University of Milan	Italy	20	114	181	206	354	516	380	489	222	45.39
390	Pompeu Fabra University	Spain	7	378+	594+	235+	417	162	436	335	633	45.37
391	National Tsing Hua University	Taiwan	3	275	543	235+	251	421	541	357	821	45.37
392	Beijing Normal University	China	20	65	594+	235+	345	467	436	430	763	45.37
393	University of Santiago de Compostela	Spain	8	378+	470	235+	382	574	436	375	164	45.37
394	University of Granada	Spain	9	378+	594+	235+	295	431	268	389	199	45.35
395	Nihon University	Japan	16	314	589	235+	618	594	664	648	75	45.35
396	University of Central Florida	USA	132	378+	496	235+	401	409	664	371	170	45.35
397	George Mason University	USA	133	378+	594+	100	456	388	268	381	374	45.35
398	University of Lorraine	France	17	225	200	204	311	326	380	430	321	45.35
399	Grenoble Institute of Technology	France	18	156	594+	201	332	525	380	357	391	45.34
400	University of New Hampshire	USA	134	378+	313	104	565	284	295	381	576	45.34
401	Lancaster University	United Kingdom	34	378+	368	235+	368	445	268	347	558	45.34
402	Xi'an Jiaotong University	China	21	378+	126	235+	257	526	541	566	338	45.34
403	National Chiao Tung University	Taiwan	4	378+	222	235+	259	625	541	420	912+	45.33
404	University at Albany, SUNY	USA	135	188	550	162	426	389	218	357	558	45.33
405	University of Iceland	Iceland	1	378+	594+	235+	596	285	324	328	883	45.33
406	Central South University	China	22	378+	113	235+	352	712	436	519	576	45.30
407	University of Campinas	Brazil	3	378+	594+	235+	296	530	436	389	207	45.30
408	University of Verona	Italy	21	378+	594+	235+	513	437	240	337	735	45.30
409	University of Bath	United Kingdom	35	378+	415	235+	390	386	436	347	387	45.30
410	Miami University	USA	136	378+	85	235+	742	597	541	648	856	45.30
411	University of Arkansas for Medical Sciences	USA	137	378+	594+	235+	517	565	664	342	281	45.29
412	Aalto University	Finland	4	378+	226	235+	337	392	436	403	384	45.29
413	University of Nebraska Medical Center	USA	138	378+	594+	235+	469	387	380	342	378	45.28
414	University of Twente	Netherlands	12	378+	490	235+	346	484	268	371	363	45.27
415	West Virginia University	USA	139	342	147	235+	453	430	436	452	600	45.25
416	South China University of Technology	China	23	378+	248	235+	329	620	380	430	267	45.25
417	Pusan National University	South Korea	9	378+	397	235+	353	502	541	430	155	45.24
418	Renmin University of China	China	24	378+	78	235+	915	934	818+	846	821	45.24
419	University of Delhi	India	2	249	80	235+	709	777	818+	846	763	45.24
420	Chonnam National University	South Korea	10	378+	593	235+	406	580	324	441	135	45.24
421	Gwangju Institute of Science and Technology	South Korea	11	378+	594+	235+	583	590	324	519	98	45.23
422	Chiba University	Japan	17	378+	594+	235+	384	354	436	403	175	45.23
423	University of Hawaii at Manoa	USA	140	378+	463	86	450	224	380	452	420	45.23
424	University of Oulu	Finland	5	290	371	235+	439	344	295	365	536	45.23
425	University of Texas at Dallas	USA	141	204	198	235+	441	403	541	424	403	45.22
426	Swedish University of Agricultural Sciences	Sweden	9	158	594+	235+	372	273	436	375	912+	45.20
