World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Patents	Score
43	Carnegie Mellon University	USA	31	30	81	26	101+	101+	61	101+	51.60
44	University of Southern California	USA	32	101+	101+	63	46	48	32	23	51.38
45	University of California, Davis	USA	33	79	101+	92	23	40	25	32	51.06
46	University of Colorado Boulder	USA	34	83	88	48	71	54	56	101+	50.68
47	University of California, Irvine	USA	35	101+	101+	38	59	57	52	65	50.64
48	University of Paris-Sud	France	1	48	101+	25	73	96	101+	101+	50.44
49	University of Minnesota, Twin Cities	USA	36	101+	101+	85	18	31	17	84	50.30
50	University of Arizona	USA	37	101+	101+	88	45	42	45	27	50.29
51	Technion – Israel Institute of Technology	Israel	3	45	89	36	101+	101+	101+	51	50.01
52	Ohio State University, Columbus	USA	38	101+	101+	83	30	50	35	54	49.54
53	University of Rochester	USA	39	41	54	101+	82	68	54	62	49.51
54	École normale supérieure - Paris	France	2	3	61	77	101+	101+	101+	101+	49.10
55	University of Florida	USA	40	101+	101+	96	29	74	42	2	48.80
56	Tel Aviv University	Israel	4	97	101+	51	72	101+	101+	35	48.76
57	Rice University	USA	41	28	53	94	101+	101+	53	101+	48.76
58	Dartmouth College	USA	42	27	13	101+	101+	101+	101+	92	48.50
59	Vanderbilt University	USA	43	80	72	101+	50	35	49	101+	48.44
60	University of Edinburgh	United Kingdom	1	71	101+	43	64	41	70	101+	48.43
61	École Polytechnique	France	3	47	3	101+	101+	101+	101+	101+	48.33
62	Boston University	USA	44	101+	101+	86	48	34	37	101+	48.31
63	Pierre-and-Marie-Curie University	France	4	54	101+	84	36	53	78	101+	48.26
64	Pennsylvania State University, University Park	USA	45	101+	94	101+	38	60	27	99	48.15
65	University of Geneva	Switzerland	2	46	101+	29	101+	93	101+	101+	47.94
66	Brown University	USA	46	49	37	65	101+	73	92	101+	47.91
67	University of British Columbia	Canada	3	101+	101+	93	28	38	48	101+	47.74
68	University of Maryland, College Park	USA	47	85	101+	50	47	55	41	101+	47.69
69	Swiss Federal Institute of Technology in Lausanne	Switzerland	3	101+	30	82	101+	101+	101+	74	47.68
70	Karolinska Institute	Sweden	1	51	101+	42	84	49	95	101+	47.61
71	University of Pittsburgh - Pittsburgh Campus	USA	48	81	101+	101+	21	32	24	61	47.59
72	Rutgers University-New Brunswick	USA	49	101+	101+	59	80	83	72	85	47.50
73	Texas A&M University, College Station	USA	50	101+	101+	46	58	101+	80	101+	47.31
74	Nagoya University	Japan	4	56	101+	69	101+	101+	101+	46	46.89
75	Seoul National University	South Korea	1	101+	34	101+	44	101+	69	4	46.74
76	University of Manchester	United Kingdom	5	101+	101+	75	52	70	63	101+	46.38
77	Sapienza University of Rome	Italy	1	101+	101+	30	70	101+	101+	101+	46.34
78	Case Western Reserve University	USA	51	33	101+	101+	96	63	65	101+	46.11
79	Tohoku University	Japan	5	53	101+	101+	49	100	67	29	45.82
80	Arizona State University	USA	52	101+	101+	70	101+	101+	77	49	45.70
81	Emory University	USA	53	101+	97	101+	54	37	50	46	45.47
82	Ruprecht Karl University of Heidelberg	Germany	1	87	101+	52	86	58	100	101+	45.33
83	Ludwig Maximilian University of Munich	Germany	2	90	101+	90	60	45	62	101+	45.21
84	University of Virginia	USA	54	101+	50	101+	76	62	57	86	45.20
85	Leiden University	Netherlands	1	88	101+	76	81	65	101+	101+	45.13
86	Tufts University	USA	55	60	41	101+	101+	95	75	101+	44.91
87	Georgia Institute of Technology	USA	56	101+	67	101+	79	101+	46	40	44.71
88	University of Zurich	Switzerland	4	101+	101+	80	101+	69	99	101+	44.51
89	University of Helsinki	Finland	1	96	101+	79	62	64	54	101+	44.44
90	Technical University of Munich	Germany	3	52	101+	101+	91	76	94	101+	44.32
91	University of Oslo	Norway	1	101+	101+	39	101+	101+	101+	101+	44.26
92	University of Queensland	Australia	1	101+	101+	101+	67	90	89	46	44.18
93	University of Copenhagen	Denmark	1	101+	101+	60	85	66	101+	101+	44.15
94	University of Sydney	Australia	2	101+	101+	101+	56	92	85	69	44.13
95	Williams College	USA	57	18	15	101+	101+	101+	101+	101+	43.89
96	University of Texas MD Anderson Cancer Center	USA	58	101+	101+	101+	95	46	66	100	43.88
97	University of Nottingham	United Kingdom	6	101+	101+	87	101+	101+	101+	92	43.79
98	University of Bristol	United Kingdom	7	101+	101+	78	75	81	86	101+	43.77
99	Utrecht University	Netherlands	2	100	101+	101+	65	101+	60	101+	43.47
100	Mines ParisTech	France	5	44	4	101+	101+	101+	101+	101+	43.36

