UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
146825,1 ,2,"R",62561,"R",4595,"R",43,"R",805,"R",14579,"R",1760,"R",0,"R",65126,"R",19217,"R",84343,"R",1964,"R",1,"R",1965,1,"R",588,"R",603,"R",0,"R",181879,1,"R",45482,"R",6300,"R",42000,"R",0,"R",48300,"R",0,"R",11800,"R",11800,"R",287461,241979
147004,1 ,2,"R",36034,"R",10808,"R",113,"R",3753,"R",12395,"R",889,"R",35211,"R",40676,"R",58527,"R",99203,"R",6837,"R",457,"R",7294,1,"R",1069,"R",1650,"R",0,"R",438679,1,"R",94245,"R",23391,"R",113445,"R",0,"R",136836,"R",0,"R",1889,"R",1889,"R",671649,577404
147013,1 ,2,"R",52126,"R",2300,"R",57,"R",3427,"R",11200,"R",1488,"R",71000,"R",57041,"R",84557,"R",141598,"R",3367,"R",294,"R",3661,1,"R",171,"R",1041,"R",0,"R",216291,1,"R",37222,"R",13628,"R",104856,"R",0,"R",118484,"R",0,"R",69571,"R",69571,"R",441568,404346
147031,1 ,2,"R",26343,"R",4075,"R",29,"R",9,"R",3,"R",21,"R",7,"R",26373,"R",4114,"R",30487,"R",515,"R",72,"R",587,1,"R",493,"R",271,"R",0,"R",103378,2,"Z",0,"R",6500,"R",11000,"R",0,"R",17500,"R",750,"R",11000,"R",11750,"R",132628,132628
147129,2 ,2,"R",4865,"R",90,"R",65,"R",188,"R",0,"R",14,"R",114275,"R",5067,"R",114430,"R",119497,"R",955,"R",280,"R",1235,1,"R",110,"R",330,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
147244,1 ,2,"R",116979,"R",30382,"R",50,"R",5542,"R",6553,"R",538,"R",40,"R",123059,"R",37025,"R",160084,"R",8738,"R",81744,"R",90482,1,"R",4040,"R",3704,"R",0,"R",397199,2,"Z",0,"R",23831,"R",179056,"R",10785,"R",213672,"R",0,"R",28827,"R",28827,"R",639698,639698
147341,1 ,2,"R",156799,"R",195480,"R",136,"R",125732,"R",910197,"R",3006,"R",53732,"R",285537,"R",1159545,"R",1445082,"R",5157,"R",9269,"R",14426,1,"R",1897,"R",2231,"R",0,"R",340104,1,"R",90528,"R",53680,"R",196143,"R",54985,"R",304808,"R",0,"R",561138,"R",561138,"R",1296578,1206050
147369,1 ,2,"R",238984,"R",1412747,"R",109,"R",20223,"R",153399,"R",1628,"R",41780,"R",260835,"R",1608035,"R",1868870,"R",35627,"R",32685,"R",68312,1,"R",5421,"R",2199,"R",1,"R",767736,2,"Z",0,"R",209745,"R",212259,"R",600,"R",422604,"R",980,"R",24776,"R",25756,"R",1216096,1216096
147378,1 ,2,"R",47078,"R",33156,"R",83,"R",6497,"R",27459,"R",213,"R",88335,"R",53788,"R",149033,"R",202821,"R",48863,"R",9576,"R",58439,1,"R",668,"R",555,"R",0,"R",1419282,1,"R",295834,"R",95690,"R",152436,"R",1360,"R",249486,"R",0,"R",139625,"R",139625,"R",2104227,1808393
147411,1 ,2,"R",31859,"R",4775,"R",45,"R",1856,"R",25,"R",301,"R",0,"R",34016,"R",4845,"R",38861,"R",1983,"R",51805,"R",53788,1,"R",1446,"R",383,"R",0,"R",466692,1,"R",38971,"R",25820,"R",63591,"R",11944,"R",101355,"R",0,"R",37270,"R",37270,"R",644288,605317
147536,1 ,2,"R",75551,"R",187852,"R",67,"R",3422,"R",30110,"R",0,"R",26000,"R",78973,"R",244029,"R",323002,"R",2830,"R",36399,"R",39229,1,"R",2511,"R",2400,"R",4,"R",913864,1,"R",253180,"R",18649,"R",205023,"R",24380,"R",248052,"R",242,"R",41294,"R",41536,"R",1456632,1203452
147590,1 ,2,"R",11130,"R",106556,"R",23,"R",273,"R",7236,"R",270,"R",17120,"R",11673,"R",130935,"R",142608,"R",9623,"R",9689,"R",19312,1,"R",1335,"R",784,"R",0,"R",287103,2,"Z",0,"R",15000,"R",114821,"R",175,"R",129996,"R",1000,"R",12891,"R",13891,"R",430990,430990
147660,1 ,2,"R",136385,"R",94307,"R",281,"R",158,"R",3428,"R",144,"R",120366,"R",136687,"R",218382,"R",355069,"R",4153,"R",3944016,"R",3948169,1,"R",2577,"R",5885,"R",0,"R",627325,2,"Z",0,"R",58430,"R",396962,"R",12512,"R",467904,"R",389,"R",86533,"R",86922,"R",1182151,1182151
147679,1 ,2,"R",225103,"R",15935,"R",165,"R",8678,"R",19751,"R",10337,"R",1032,"R",244118,"R",36883,"R",281001,"R",23351,"R",3900,"R",27251,1,"R",7225,"R",5239,"R",0,"R",669207,1,"R",100758,"R",114503,"R",265456,"R",0,"R",379959,"R",8898,"R",67338,"R",76236,"R",1226160,1125402
147697,1 ,2,"R",30352,"R",21594,"R",36,"R",47,"R",12492,"R",345,"R",12564,"R",30744,"R",46686,"R",77430,"R",1743,"R",236,"R",1979,1,"R",960,"R",1416,"R",0,"R",99908,1,"R",17756,"R",24073,"R",17716,"R",0,"R",41789,"R",0,"R",30745,"R",30745,"R",190198,172442
147703,1 ,2,"R",2390273,"R",802783,"R",407,"R",130102,"R",11120,"R",9734,"R",107199,"R",2530109,"R",921509,"R",3451618,"R",47303,"R",681701,"R",729004,1,"R",17604,"R",17897,"R",3,"R",3428332,2,"Z",0,"R",380078,"R",3095038,"R",235798,"R",3710914,"R",21430,"R",166868,"R",188298,"R",7327544,7327544
